,주소,스타벅스입점,광역시도,시도
50,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)02-758-8120",1,서울특별시,강남구
51,서울특별시 강남구 논현로 88 (개포동)02-758-8122,1,서울특별시,강남구
52,서울특별시 강남구 테헤란로 142 (역삼동)02-758-8158,1,서울특별시,강남구
53,서울특별시 강남구 영동대로 215 (대치동)02-758-8151,1,서울특별시,강남구
54,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩02-758-8970,1,서울특별시,강남구
55,서울특별시 강남구 삼성로 605 (삼성동)02-758-8278,1,서울특별시,강남구
56,서울특별시 강남구 논현로 508 (역삼동)02-758-8129,1,서울특별시,강남구
57,서울특별시 강남구 논현로 841 (신사동)02-758-8109,1,서울특별시,강남구
58,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)02-758-8108",1,서울특별시,강남구
59,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층02-758-8165,1,서울특별시,강남구
60,서울특별시 강남구 영동대로 616 (삼성동)02-758-8478,1,서울특별시,강남구
61,서울특별시 강남구 도곡로 183 (역삼동)02-758-8463,1,서울특별시,강남구
62,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)02-758-8444",1,서울특별시,강남구
63,서울특별시 강남구 학동로 506 (삼성동)02-758-8394,1,서울특별시,강남구
64,서울특별시 강남구 언주로174길 29 (신사동)02-758-8398,1,서울특별시,강남구
65,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)02-758-8317",1,서울특별시,강남구
66,서울특별시 강남구 강남대로 282 (도곡동)02-758-8325,1,서울특별시,강남구
67,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)02-758-8492",1,서울특별시,강남구
68,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)02-758-8314",1,서울특별시,강남구
69,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)02-758-8345",1,서울특별시,강남구
70,서울특별시 강남구 테헤란로 306 (역삼동)02-758-8321,1,서울특별시,강남구
71,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)02-758-8331",1,서울특별시,강남구
72,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)02-758-8552",1,서울특별시,강남구
73,서울특별시 강남구 테헤란로103길 9 (삼성동)02-758-8585,1,서울특별시,강남구
74,서울특별시 강남구 논현로 648 (논현동)02-758-8426,1,서울특별시,강남구
75,"서울특별시 강남구 도산대로 134, 2층 (논현동)02-758-8429",1,서울특별시,강남구
76,서울특별시 강북구 삼양로 161 (미아동)02-980-3341,1,서울특별시,강북구
77,서울특별시 강북구 도봉로 365 (수유동)02-758-8944,1,서울특별시,강북구
78,서울특별시 강북구 도봉로 32 (미아동)02-758-8859,1,서울특별시,강북구
79,서울특별시 강북구 도봉로 342 (번동)02-758-8104,1,서울특별시,강북구
80,서울특별시 강북구 도봉로 196 (미아동)02-758-8500,1,서울특별시,강북구
81,서울특별시 강서구 강서로 267 (내발산동)02-2664-2624,1,서울특별시,강서구
82,서울특별시 강서구 마곡동로 62 (마곡동)02-2659-3585,1,서울특별시,강서구
83,서울특별시 강서구 방화대로 375 (방화동)02-2664-3480,1,서울특별시,강서구
84,서울특별시 강서구 마곡중앙로 161-17 (마곡동)02-3662-3504,1,서울특별시,강서구
85,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호02-2659-3404",1,서울특별시,강서구
86,서울특별시 강서구 양천로 476 (등촌동)02-3661-3418,1,서울특별시,강서구
87,서울특별시 강서구 등촌로 57 (화곡동)02-2648-3257,1,서울특별시,강서구
88,서울특별시 강서구 강서로 463 (마곡동)02-2658-3312,1,서울특별시,강서구
89,서울특별시 강서구 화곡로 142(화곡동)02-758-8881,1,서울특별시,강서구
90,서울특별시 강서구 공항대로 329 (등촌동)02-758-8883,1,서울특별시,강서구
91,서울특별시 강서구 공항대로 627 (염창동)02-758-8694,1,서울특별시,강서구
92,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트02-758-8720,1,서울특별시,강서구
93,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)02-758-8070",1,서울특별시,강서구
94,서울특별시 강서구 강서로13길 3 (화곡동)02-758-8538,1,서울특별시,강서구
95,서울특별시 관악구 관악로 158 (봉천동)02-883-3725,1,서울특별시,관악구
96,서울특별시 관악구 남부순환로 1419 (신림동)02-851-3283,1,서울특별시,관악구
97,서울특별시 관악구 남부순환로 1817 (봉천동)02-876-3252,1,서울특별시,관악구
98,서울특별시 관악구 남부순환로 1948 (봉천동)02-872-3249,1,서울특별시,관악구
99,서울특별시 관악구 남부순환로 2082-2502-758-8721,1,서울특별시,관악구
100,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)02-758-8629",1,서울특별시,관악구
101,서울특별시 관악구 남부순환로 1619 (신림동)02-758-8645,1,서울특별시,관악구
102,서울특별시 관악구 신림로 355-1 (신림동)02-758-8290,1,서울특별시,관악구
103,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)02-758-8286",1,서울특별시,관악구
104,서울특별시 관악구 남부순환로 1812 (봉천동)02-758-8460,1,서울특별시,관악구
105,서울특별시 광진구 능동로243 02-464-3656,1,서울특별시,광진구
106,서울특별시 광진구 천호대로 676 02-455-3637,1,서울특별시,광진구
107,서울특별시 광진구 광나루로 608 (구의동)02-453-3514,1,서울특별시,광진구
108,서울특별시 광진구 광나루로 519 (구의동)02-758-8901,1,서울특별시,광진구
109,서울특별시 광진구 아차산로 35502-758-8865,1,서울특별시,광진구
110,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩02-758-8748,1,서울특별시,광진구
111,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)02-758-8648",1,서울특별시,광진구
112,서울특별시 광진구 아차산로 262 (자양동)02-758-8197,1,서울특별시,광진구
113,서울특별시 광진구 능동로 50 (자양동)02-758-8159,1,서울특별시,광진구
114,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버02-758-8759,1,서울특별시,광진구
115,서울특별시 광진구 능동로 107 (화양동)02-758-8305,1,서울특별시,광진구
116,서울특별시 광진구 아차산로 373 (구의동)02-758-8476,1,서울특별시,광진구
117,서울특별시 광진구 아차산로 537-17 (광장동)02-758-8508,1,서울특별시,광진구
118,서울특별시 광진구 능동로 90 (자양동) 더 클래식50002-758-8519,1,서울특별시,광진구
119,서울특별시 금천구 가산디지털1로 171 (가산동)02-6244-8046,1,서울특별시,금천구
120,서울특별시 금천구 시흥대로 426 (독산동)02-838-3444,1,서울특별시,금천구
121,서울특별시 금천구 시흥대로 164 (시흥동)02-805-3360,1,서울특별시,금천구
122,서울특별시 금천구 벚꽃로 298 (가산동)02-2083-8302,1,서울특별시,금천구
123,서울특별시 금천구 두산로 70 (독산동)02-758-8765,1,서울특별시,금천구
124,서울특별시 금천구 가산디지털1로 168 (가산동)02-758-8147,1,서울특별시,금천구
125,서울특별시 금천구 디지털로 188 (가산동)02-758-8196,1,서울특별시,금천구
126,서울특별시 금천구 벚꽃로 266 마리오아울렛3관02-758-8542,1,서울특별시,금천구
127,서울특별시 금천구 가산디지털1로 128 (가산동)02-758-8371,1,서울특별시,금천구
128,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)02-758-8346",1,서울특별시,금천구
129,서울특별시 노원구 마들로3길 15 02-971-3748,1,서울특별시,노원구
130,서울특별시 노원구 노원로 449 02-931-3660,1,서울특별시,노원구
131,서울특별시 노원구 동일로 1015 (공릉동)02-971-3457,1,서울특별시,노원구
132,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)02-934-3438",1,서울특별시,노원구
133,서울특별시 노원구 동일로 1081 (공릉동)02-972-3380,1,서울특별시,노원구
134,서울특별시 노원구 화랑로 621 (공릉동)02-758-8647,1,서울특별시,노원구
135,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)02-758-8238",1,서울특별시,노원구
136,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)02-758-8523",1,서울특별시,노원구
137,서울특별시 노원구 석계로 104 (월계동)02-758-8485,1,서울특별시,노원구
138,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)02-758-8567",1,서울특별시,노원구
139,"서울특별시 노원구 동일로 1413, 1층 (상계동)02-758-8584",1,서울특별시,노원구
140,서울특별시 노원구 마들로3길 15 (월계동)02-758-8573,1,서울특별시,노원구
141,서울특별시 도봉구 노해로65길 4 (창동)02-903-3791,1,서울특별시,도봉구
142,서울특별시 도봉구 도봉로 480 (창동)02-758-8691,1,서울특별시,도봉구
143,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)02-832-3693",1,서울특별시,동작구
144,서울특별시 동작구 사당로 300 (사당동 이수자이)02-588-3657,1,서울특별시,동작구
145,서울특별시 동작구 노량진로 134 (노량진동)02-816-3581,1,서울특별시,동작구
146,서울특별시 동작구 상도로 102 (상도동)02-813-3501,1,서울특별시,동작구
147,서울특별시 동작구 흑석로 75-1 (흑석동)02-812-3250,1,서울특별시,동작구
148,서울특별시 동작구 상도로 354 (상도동)02-815-3205,1,서울특별시,동작구
149,서울특별시 동작구 사당로 4 (상도동)02-758-8153,1,서울특별시,동작구
150,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)02-758-8311",1,서울특별시,동작구
151,서울특별시 마포구 상암산로 76 (상암동)02-304-3752,1,서울특별시,마포구
152,서울특별시 마포구 토정로 295 (용강동)02-3275-3655,1,서울특별시,마포구
153,서울특별시 마포구 양화로 125 (서교동)02-325-3531,1,서울특별시,마포구
154,서울특별시 마포구 마포대로 173-14 (아현동)02-392-3555,1,서울특별시,마포구
155,서울특별시 마포구 마포대로 130 (공덕동)02-716-3426,1,서울특별시,마포구
156,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)02-324-3587",1,서울특별시,마포구
157,서울특별시 마포구 양화로 178 (동교동)02-332-3516,1,서울특별시,마포구
158,서울특별시 마포구 독막로 311 (염리동)02-3272-3331,1,서울특별시,마포구
159,서울특별시 마포구 서강로 69 (창전동)02-325-3351,1,서울특별시,마포구
160,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-202-323-3214",1,서울특별시,마포구
161,서울특별시 마포구 백범로 89-5 (대흥동)02-3272-3335,1,서울특별시,마포구
162,서울특별시 마포구 양화로 105 (서교동)02-326-5218,1,서울특별시,마포구
163,서울특별시 마포구 월드컵북로54길 17 (상암동)02-373-3225,1,서울특별시,마포구
164,서울특별시 마포구 신촌로16길 10 (노고산동)02-334-3275,1,서울특별시,마포구
165,서울특별시 마포구 상암산로 3402-758-8890,1,서울특별시,마포구
166,서울특별시 마포구 독막로 88 (상수동)02-758-8925,1,서울특별시,마포구
167,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩02-758-8933,1,서울특별시,마포구
168,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층02-758-8856,1,서울특별시,마포구
169,서울특별시 마포구 백범로 23 (신수동)02-758-8783,1,서울특별시,마포구
170,서울특별시 마포구 성암로 267 (상암동)02-758-8787,1,서울특별시,마포구
171,서울특별시 마포구 와우산로 83 (서교동)02-758-8786,1,서울특별시,마포구
172,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)02-758-8672",1,서울특별시,마포구
173,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)02-758-8637",1,서울특별시,마포구
174,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)02-758-8272",1,서울특별시,마포구
175,"서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)02-758-8293",1,서울특별시,마포구
176,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)02-6393-6219",1,서울특별시,마포구
177,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)02-758-8265",1,서울특별시,마포구
178,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워02-758-8217,1,서울특별시,마포구
179,서울특별시 마포구 와우산로 64 (상수동)02-758-8402,1,서울특별시,마포구
180,서울특별시 마포구 월드컵로 74 (서교동)02-758-8365,1,서울특별시,마포구
181,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트02-758-8467,1,서울특별시,마포구
182,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)02-758-8534",1,서울특별시,마포구
183,서울특별시 서대문구 가재울미래로 2 02-304-3724,1,서울특별시,서대문구
184,서울특별시 서대문구 신촌로 73 (창천동)02-336-3529,1,서울특별시,서대문구
185,서울특별시 서대문구 연희로 97 (연희동)02-326-3372,1,서울특별시,서대문구
186,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)02-312-3430",1,서울특별시,서대문구
187,서울특별시 서대문구 통일로 451 (홍제동)02-396-3383,1,서울특별시,서대문구
188,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교02-758-8977,1,서울특별시,서대문구
189,서울특별시 서대문구 거북골로 53 (남가좌동)02-758-8908,1,서울특별시,서대문구
190,서울특별시 서대문구 연희로 144 (연희동)02-758-8893,1,서울특별시,서대문구
191,서울특별시 서대문구 신촌로 1 (창천동)02-758-8688,1,서울특별시,서대문구
192,서울특별시 서대문구 충정로 53 (충정로2가)02-758-8163,1,서울특별시,서대문구
193,서울특별시 서대문구 신촌로 121 (창천동)02-758-8090,1,서울특별시,서대문구
194,서울특별시 서대문구 연세로 10-1 (창천동)02-758-8035,1,서울특별시,서대문구
195,서울특별시 서대문구 이화여대길 34 (대현동)02-758-8001,1,서울특별시,서대문구
196,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)02-758-8244",1,서울특별시,서대문구
197,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호02-758-8240,1,서울특별시,서대문구
198,서울특별시 서대문구 연세로 35 (창천동)02-758-8439,1,서울특별시,서대문구
199,서울특별시 서대문구 신촌로 129 (창천동)02-758-8401,1,서울특별시,서대문구
200,서울특별시 서대문구 충정로 2302-758-8479,1,서울특별시,서대문구
201,서울특별시 서대문구 성산로 565 (대신동)02-758-8450,1,서울특별시,서대문구
202,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)02-365-8330",1,서울특별시,서대문구
203,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)02-758-8333",1,서울특별시,서대문구
204,서울특별시 서초구 강남대로 465 (서초동)02-534-3604,1,서울특별시,서초구
205,서울특별시 서초구 방배로 114 (방배동)02-3473-3576,1,서울특별시,서초구
206,서울특별시 서초구 신반포로 176 (반포동)02-537-3598,1,서울특별시,서초구
207,서울특별시 서초구 반포대로21길 3 (서초동)02-522-3533,1,서울특별시,서초구
208,서울특별시 서초구 남부순환로 2557 (서초동)02-3471-3545,1,서울특별시,서초구
209,서울특별시 서초구 강남대로 343 (서초동)02-3486-3536,1,서울특별시,서초구
210,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)02-3476-3472",1,서울특별시,서초구
211,서울특별시 서초구 강남대로 595 (잠원동)02-516-3402,1,서울특별시,서초구
212,서울특별시 서초구 신반포로 194 (반포동)02-592-3432,1,서울특별시,서초구
213,서울특별시 서초구 강남대로85길 5 (반포동)02-515-3419,1,서울특별시,서초구
214,서울특별시 서초구 방배로 21102-536-3204,1,서울특별시,서초구
215,서울특별시 서초구 방배중앙로 162 (방배동)02-536-3206,1,서울특별시,서초구
216,서울특별시 서초구 서초대로 274 (서초동)02-523-3294,1,서울특별시,서초구
217,서울특별시 서초구 청계산로 203 (신원동)02-577-3253,1,서울특별시,서초구
218,서울특별시 서초구 방배천로 5-4(방배동)02-758-8953,1,서울특별시,서초구
219,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY02-758-8790,1,서울특별시,서초구
220,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩02-758-8757,1,서울특별시,서초구
221,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩02-758-8816,1,서울특별시,서초구
222,서울특별시 서초구 강남대로 557 (잠원동) 1~2층02-758-8819,1,서울특별시,서초구
223,서울특별시 서초구 동작대로 112 (방배동)02-758-8794,1,서울특별시,서초구
224,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩02-758-8740,1,서울특별시,서초구
225,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤02-758-8716,1,서울특별시,서초구
226,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩02-758-8738,1,서울특별시,서초구
227,서울특별시 서초구 서초중앙로 22502-758-8715,1,서울특별시,서초구
228,서울특별시 서초구 신반포로 176 (반포동)02-758-8656,1,서울특별시,서초구
229,서울특별시 서초구 서초대로78길 24 (서초동)02-758-8213,1,서울특별시,서초구
230,서울특별시 서초구 방배로 84 (방배동)02-758-8086,1,서울특별시,서초구
231,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가02-758-8141,1,서울특별시,서초구
232,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)02-758-8085",1,서울특별시,서초구
233,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽02-758-8032,1,서울특별시,서초구
234,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)02-758-8081",1,서울특별시,서초구
235,서울특별시 서초구 서초중앙로 118 (서초동)02-758-8073,1,서울특별시,서초구
236,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)02-2155-4117",1,서울특별시,서초구
237,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩02-758-8756,1,서울특별시,서초구
238,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)02-758-8291",1,서울특별시,서초구
239,서울특별시 서초구 효령로 274 (서초동)02-758-8229,1,서울특별시,서초구
240,서울특별시 서초구 서래로 48 (반포동)02-3482-8257,1,서울특별시,서초구
241,서울특별시 서초구 강남대로 399 (서초동)02-758-8225,1,서울특별시,서초구
242,서울특별시 서초구 반포대로 118 (서초동)02-758-8289,1,서울특별시,서초구
243,"서울특별시 서초구 남부순환로323길 1, 1층 (서초동)02-758-8313",1,서울특별시,서초구
244,서울특별시 서초구 서초중앙로 164 (서초동)02-758-8400,1,서울특별시,서초구
245,"서울특별시 서초구 서초대로 411, GT타워 (서초동)02-758-8477",1,서울특별시,서초구
246,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)02-758-8459",1,서울특별시,서초구
247,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)02-758-8332",1,서울특별시,서초구
248,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)02-758-8587",1,서울특별시,서초구
249,서울특별시 성북구 종암로 17 (종암동)02-925-3469,1,서울특별시,성북구
250,서울특별시 성북구 동소문로 314 (하월곡동)02-913-3364,1,서울특별시,성북구
251,서울특별시 성북구 보문로34길 62 (동선동2가)02-922-3281,1,서울특별시,성북구
252,서울특별시 성북구 종암로 122 (종암동)02-758-8980,1,서울특별시,성북구
253,서울특별시 성북구 동소문로 10 (동소문동2가)02-758-8714,1,서울특별시,성북구
254,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)02-758-8608",1,서울특별시,성북구
255,서울특별시 성북구 인촌로24길 51 (안암동5가)02-758-8067,1,서울특별시,성북구
256,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하 1층 (길음동)02-758-8203",1,서울특별시,성북구
257,서울특별시 성북구 동소문로24길 12 (동선동1가)02-758-8499,1,서울특별시,성북구
258,서울특별시 성북구 인촌로 102-2 (안암동5가)02-758-8541,1,서울특별시,성북구
259,서울특별시 성북구 성북로 11 (성북동1가)02-758-8455,1,서울특별시,성북구
260,서울특별시 송파구 오금로 142 (송파동)02-421-3622,1,서울특별시,송파구
261,서울특별시 송파구 올림픽로 289 (신천동)02-417-3614,1,서울특별시,송파구
262,서울특별시 송파구 송파대로 201 (문정동)02-881-5012,1,서울특별시,송파구
263,서울특별시 송파구 오금로 420 (가락동)02-401-3574,1,서울특별시,송파구
264,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호02-401-3431",1,서울특별시,송파구
265,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호02-2054-3836",1,서울특별시,송파구
266,서울특별시 송파구 올림픽로35길 141 (신천동)02-416-0020,1,서울특별시,송파구
267,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)02-3012-3457",1,서울특별시,송파구
268,서울특별시 송파구 오금로 241 (방이동)02-414-3269,1,서울특별시,송파구
269,서울특별시 송파구 오금로 87 (방이동)02-2145-0300,1,서울특별시,송파구
270,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트02-758-8983,1,서울특별시,송파구
271,서울특별시 송파구 법원로 55 (문정동)02-409-3245,1,서울특별시,송파구
272,서울특별시 송파구 송파대로 386 (송파동)02-758-8931,1,서울특별시,송파구
273,서울특별시 송파구 석촌호수로 176 (삼전동)02-758-8874,1,서울특별시,송파구
274,서울특별시 송파구 동남로 141 (가락동)02-758-8860,1,서울특별시,송파구
275,서울특별시 송파구 중대로 68 (문정동)02-758-8793,1,서울특별시,송파구
276,서울특별시 송파구 위례성대로 102 (방이동)02-758-8769,1,서울특별시,송파구
277,"서울특별시 송파구 마천로 53, 1~2층 (오금동)02-758-8698",1,서울특별시,송파구
278,서울특별시 송파구 석촌호수로 262 (송파동)02-758-8693,1,서울특별시,송파구
279,"서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)02-758-8652",1,서울특별시,송파구
280,서울특별시 송파구 올림픽로 96 (잠실동)02-758-8643,1,서울특별시,송파구
281,"서울특별시 송파구 송파대로 562, 한빛프라자 1층, 2층 (신천동)02-758-8077",1,서울특별시,송파구
282,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)02-758-8118",1,서울특별시,송파구
283,서울특별시 송파구 백제고분로 69 (잠실동)02-758-8124,1,서울특별시,송파구
284,서울특별시 송파구 양재대로 1222 (방이동)02-758-8580,1,서울특별시,송파구
285,서울특별시 송파구 송파대로30길 13 (가락동)02-758-8495,1,서울특별시,송파구
286,"서울특별시 송파구 백제고분로 358, 1층 (석촌동)02-758-8350",1,서울특별시,송파구
287,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)02-758-8469",1,서울특별시,송파구
288,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴02-758-8406,1,서울특별시,송파구
289,서울특별시 양천구 공항대로 566 (목동) 1층 2층02-2645-3631,1,서울특별시,양천구
290,서울특별시 양천구 목동동로 309 (목동)02-2643-3652,1,서울특별시,양천구
291,서울특별시 양천구 신월로 341 (신정동)02-2604-3441,1,서울특별시,양천구
