,광역시도,시도,스타벅스입점,ID,y,x
91,서울특별시,양천구,14.0,서울 양천,7,4
92,서울특별시,영등포구,35.0,서울 영등포,8,4
93,서울특별시,용산구,17.0,서울 용산,6,6
94,서울특별시,은평구,8.0,서울 은평,5,4
95,서울특별시,종로구,38.0,서울 종로,4,6
96,서울특별시,중구,50.0,서울 중구,5,6
97,서울특별시,중랑구,6.0,서울 중랑,4,8
98,세종특별자치시,세종시,7.0,세종,13,4
99,울산광역시,남구,13.0,울산 남구,15,12
100,울산광역시,동구,2.0,울산 동구,14,12
101,울산광역시,북구,4.0,울산 북구,13,12
102,울산광역시,울주군,1.0,울산 울주,14,11
103,울산광역시,중구,5.0,울산 중구,15,11
104,인천광역시,계양구,2.0,인천 계양,7,2
105,인천광역시,남동구,9.0,인천 남동,10,2
106,인천광역시,동구,1.0,인천 동구,7,1
107,인천광역시,부평구,9.0,인천 부평,8,2
108,인천광역시,서구,6.0,인천 서구,6,1
109,인천광역시,연수구,10.0,인천 연수,10,1
110,인천광역시,중구,7.0,인천 중구,9,1
111,전라남도,광양시,1.0,광양,21,5
112,전라남도,나주시,1.0,나주,22,1
113,전라남도,목포시,5.0,목포,22,0
114,전라남도,무안군,1.0,무안,21,1
115,전라남도,순천시,4.0,순천,22,4
116,전라남도,여수시,5.0,여수,23,4
117,전라북도,군산시,2.0,군산,16,2
118,전라북도,익산시,3.0,익산,16,3
119,전라북도,정읍시,1.0,정읍,18,2
120,제주특별자치도,서귀포시,9.0,서귀포,26,5
121,제주특별자치도,제주시,8.0,제주,25,5
122,충청남도,계룡시,1.0,계룡,14,4
123,충청남도,공주시,2.0,공주,12,4
124,충청남도,논산시,1.0,논산,14,3
125,충청남도,당진시,2.0,당진,12,1
126,충청남도,서산시,2.0,서산,13,1
127,충청남도,아산시,4.0,아산,11,1
128,충청북도,제천시,1.0,제천,10,7
129,충청북도,충주시,4.0,충주,12,6
130,0,0,0.0,철원,0,7
131,0,0,0.0,화천,0,8
132,0,0,0.0,양구,0,9
133,0,0,0.0,연천,1,5
134,0,0,0.0,인제,1,8
135,0,0,0.0,고양 덕양,2,3
136,0,0,0.0,고양 일산동,2,4
137,0,0,0.0,횡성,2,9
138,0,0,0.0,양양,2,10
139,0,0,0.0,고양 일산서,3,3
140,0,0,0.0,가평,3,7
141,0,0,0.0,정선,3,10
142,0,0,0.0,부천 소사,4,2
143,0,0,0.0,안양 만안,4,3
144,0,0,0.0,태백,4,10
145,0,0,0.0,인천 강화,5,1
146,0,0,0.0,부천 원미,5,2
147,0,0,0.0,안양 동안,5,3
148,0,0,0.0,삼척,5,11
149,0,0,0.0,부천 오정,6,2
150,0,0,0.0,평창,6,10
151,0,0,0.0,울진,6,11
152,0,0,0.0,안산 상록,7,3
153,0,0,0.0,성남 중원,7,7
154,0,0,0.0,영월,7,10
155,0,0,0.0,영덕,7,11
156,0,0,0.0,안산 단원,8,3
157,0,0,0.0,성남 분당,8,7
158,0,0,0.0,성남 수정,8,8
159,0,0,0.0,용인 수지,8,9
160,0,0,0.0,봉화,8,11
161,0,0,0.0,울릉,8,13
162,0,0,0.0,인천 남구,9,2
163,0,0,0.0,수원 영통,9,7
164,0,0,0.0,용인 기흥,9,8
165,0,0,0.0,용인 처인,9,9
166,0,0,0.0,영양,9,11
167,0,0,0.0,인천 옹진,10,0
168,0,0,0.0,수원 권선,10,5
169,0,0,0.0,수원 장안,10,6
170,0,0,0.0,예천,10,8
171,0,0,0.0,영주,10,9
172,0,0,0.0,청송,10,11
173,0,0,0.0,포항 북구,10,12
174,0,0,0.0,태안,11,0
175,0,0,0.0,천안 동남,11,2
176,0,0,0.0,천안 서북,11,3
177,0,0,0.0,음성,11,5
178,0,0,0.0,수원 팔달,11,6
179,0,0,0.0,단양,11,7
180,0,0,0.0,상주,11,8
181,0,0,0.0,군위,11,10
182,0,0,0.0,의성,11,11
183,0,0,0.0,포항 남구,11,12
184,0,0,0.0,홍성,12,2
185,0,0,0.0,예산,12,3
186,0,0,0.0,진천,12,5
187,0,0,0.0,청주 흥덕,12,7
188,0,0,0.0,괴산,12,8
189,0,0,0.0,칠곡,12,9
190,0,0,0.0,영천,12,10
191,0,0,0.0,보령,13,2
192,0,0,0.0,청양,13,3
193,0,0,0.0,증평,13,6
194,0,0,0.0,청주 청원,13,7
195,0,0,0.0,보은,13,8
196,0,0,0.0,고령,13,9
197,0,0,0.0,청도,13,10
198,0,0,0.0,성주,13,11
199,0,0,0.0,부여,14,2
200,0,0,0.0,청주 상당,14,6
201,0,0,0.0,청주 서원,14,7
202,0,0,0.0,서천,15,2
203,0,0,0.0,금산,15,3
204,0,0,0.0,옥천,15,6
205,0,0,0.0,영동,15,7
206,0,0,0.0,대구 남구,15,9
207,0,0,0.0,무주,16,5
208,0,0,0.0,거창,16,6
209,0,0,0.0,합천,16,7
210,0,0,0.0,부안,17,2
211,0,0,0.0,김제,17,3
212,0,0,0.0,완주,17,4
213,0,0,0.0,장수,17,5
214,0,0,0.0,함양,17,6
215,0,0,0.0,창녕,17,7
216,0,0,0.0,밀양,17,8
217,0,0,0.0,고창,18,1
218,0,0,0.0,전주 덕진,18,3
219,0,0,0.0,진안,18,4
220,0,0,0.0,남원,18,5
221,0,0,0.0,의령,18,7
222,0,0,0.0,영광,19,1
223,0,0,0.0,장성,19,2
224,0,0,0.0,전주 완산,19,3
225,0,0,0.0,임실,19,4
226,0,0,0.0,산청,19,5
227,0,0,0.0,함안,19,6
228,0,0,0.0,창원 합포,19,8
229,0,0,0.0,함평,20,1
230,0,0,0.0,담양,20,2
231,0,0,0.0,순창,20,3
232,0,0,0.0,구례,20,4
233,0,0,0.0,하동,20,5
234,0,0,0.0,창원 의창,20,6
235,0,0,0.0,창원 성산,20,7
236,0,0,0.0,창원 진해,20,8
237,0,0,0.0,부산 영도,20,10
238,0,0,0.0,신안,21,0
239,0,0,0.0,곡성,21,3
240,0,0,0.0,화순,21,4
241,0,0,0.0,창원 회원,21,7
242,0,0,0.0,고흥,22,5
243,0,0,0.0,남해,22,6
244,0,0,0.0,고성(경남),22,7
245,0,0,0.0,해남,23,0
246,0,0,0.0,영암,23,1
247,0,0,0.0,진도,24,0
248,0,0,0.0,강진,24,1
249,0,0,0.0,장흥,24,2
250,0,0,0.0,보성,24,3
251,0,0,0.0,완도,25,2
